Customer ID,Customer Name,Segment,Region,Sales,Profit,Order ID,Profit Margin
AA-10315,Alex Avila,Consumer,Central,4780.552,-650.5971000000001,6,18.333333333333332
AA-10315,Alex Avila,Consumer,East,29.5,13.282599999999999,2,45.0
AA-10315,Alex Avila,Consumer,West,753.508,274.432,3,30.5
AA-10375,Allen Armold,Consumer,Central,178.37,62.0658,2,36.5
AA-10375,Allen Armold,Consumer,East,206.732,68.9195,5,39.35
AA-10375,Allen Armold,Consumer,South,598.48,127.6256,4,30.625
AA-10375,Allen Armold,Consumer,West,72.80799999999999,18.7715,4,21.5625
AA-10480,Andrew Allen,Consumer,Central,1747.5,420.4986,10,32.6
AA-10480,Andrew Allen,Consumer,East,27.46,9.8856,1,36.0
AA-10480,Andrew Allen,Consumer,South,15.552,5.4432,1,35.0
AA-10645,Anna Andreadi,Consumer,Central,1971.46,439.31379999999996,3,25.666666666666668
AA-10645,Anna Andreadi,Consumer,East,1434.33,77.6417,6,12.468333333333334
AA-10645,Anna Andreadi,Consumer,South,291.73999999999995,79.0364,4,34.75
AA-10645,Anna Andreadi,Consumer,West,1389.405,261.8114,5,29.73
AB-10015,Aaron Bergman,Consumer,Central,576.564,114.3432,3,8.0
AB-10015,Aaron Bergman,Consumer,West,309.592,15.0033,3,13.083333333333334
AB-10060,Adam Bellavance,Home Office,Central,240.14999999999998,115.5072,3,47.0
AB-10060,Adam Bellavance,Home Office,East,4487.352,1468.7919,7,37.07142857142857
AB-10060,Adam Bellavance,Home Office,South,334.2,106.5112,3,35.0
AB-10060,Adam Bellavance,Home Office,West,2693.9179999999997,363.77819999999997,5,22.95
AB-10105,Adrian Barton,Consumer,Central,12181.594,5362.6135,11,-10.916363636363636
AB-10105,Adrian Barton,Consumer,East,117.96,5.898,1,5.0
AB-10105,Adrian Barton,Consumer,South,843.84,224.4492,2,37.5
AB-10105,Adrian Barton,Consumer,West,1330.1770000000001,-148.15519999999998,6,-21.028333333333332
AB-10150,Aimee Bixby,Consumer,Central,169.188,12.9268,6,7.0
AB-10150,Aimee Bixby,Consumer,East,797.522,300.7329,6,35.958333333333336
AB-10165,Alan Barnes,Consumer,Central,37.296,-1.0656,1,-2.86
AB-10165,Alan Barnes,Consumer,East,118.32,28.923000000000002,3,25.833333333333332
AB-10165,Alan Barnes,Consumer,South,163.96,59.4355,1,36.25
AB-10165,Alan Barnes,Consumer,West,794.2620000000001,133.5201,9,25.333333333333332
AB-10255,Alejandro Ballentine,Home Office,Central,13.616,3.5742,1,26.25
AB-10255,Alejandro Ballentine,Home Office,East,121.582,36.0953,5,19.516
AB-10255,Alejandro Ballentine,Home Office,South,34.34,14.3178,2,42.0
AB-10255,Alejandro Ballentine,Home Office,West,744.9939999999999,210.58020000000002,6,36.958333333333336
AB-10600,Ann Blume,Corporate,Central,14.48,-23.892,1,-165.0
AB-10600,Ann Blume,Corporate,South,17.088,1.068,1,6.25
AB-10600,Ann Blume,Corporate,West,1484.2939999999999,-252.13639999999998,6,-18.18166666666667
AC-10420,Alyssa Crouse,Corporate,Central,162.16,-69.062,2,-83.75
AC-10420,Alyssa Crouse,Corporate,East,57.576,21.591,1,37.5
AC-10420,Alyssa Crouse,Corporate,West,706.064,-14.6632,2,16.875
AC-10450,Amy Cox,Consumer,Central,1793.98,843.1706,1,47.0
AC-10450,Amy Cox,Consumer,East,70.212,25.7148,2,39.375
AC-10450,Amy Cox,Consumer,South,1701.358,32.3741,4,-12.3125
AC-10450,Amy Cox,Consumer,West,1962.296,464.75030000000004,2,21.25
AC-10615,Ann Chong,Corporate,Central,12.768,0.9576,1,7.5
AC-10615,Ann Chong,Corporate,East,2444.558,272.34770000000003,15,15.05
AC-10615,Ann Chong,Corporate,West,80.36,25.522,2,19.5
AC-10660,Anna Chung,Consumer,Central,179.608,-16.1928,2,11.25
AC-10660,Anna Chung,Consumer,East,191.34,-4.9704,2,15.98
AC-10660,Anna Chung,Consumer,West,286.368,-7.537199999999999,2,-8.75
AD-10180,Alan Dominguez,Home Office,Central,600.558,-8.5794,1,-1.43
